quiz.properties|name=Idioms 1~~q_lang=en-GB~~a_lang=en-GB~~fontsize_q=30~~fontsize_a=30
Clean up your act|to improve your behaviour or your performance.~~~~Examples~~I used to drink a lot of alcohol but when I got ill, I decided to clean up my act and now I only drink cola!~~~~He turned up late for work every day looking a real mess, so they told him to clean up his act or face losing his job.
Off the hook|to let someone off the hook means to free them from an obligation.~~~~Examples~~I haven't studied much but my teacher let me off the hook today. She's decided to postpone the test as long as I hit the books this week.~~~~The team's supporters didn't let them off the hook. They booed the players off the pitch after they were beaten four-nil.
Close, but no cigar|If someone almost succeeds – but not quite – you can say to them 'close, but no cigar.' ~~~~Examples~~A: How old do you think I am?~~B: 36? ~~A: Nope – 35. Close, but no cigar. ~~~~Five of my numbers came up in the lottery. Close, but no cigar.~~~~They hit the post in the last second of the game. Close, but no cigar!
Mansplaining|Mansplaining is when a man explains something to a woman as if they are stupid or knows less about a subject simply because she is a woman.~~~~Examples~~So there was this guy mansplaining the offside rule to me. I've been playing football since I was 4 years old!~~~~Man: Push your foot down a bit harder on the clutch before you try to change gear. It'll make it much smoother.~~Woman: Quit the mansplaining. I'm a taxi driver, OK?
Mash-up|when you take two or more already made things and combine them to make something new.~~~~Examples~~~~A: Wow, great new track! Who made it?~~B: It’s a mash-up that I got online. I didn’t know you could mix jazz and rock!~~~~So I’ve got these two great pieces of film. One’s a romance and one’s a horror film. I’m going to mash them up to make a romantic horror!
Not a sausage|Not a sausage means 'nothing at all'.~~~~Examples~~A: Did you find any good deals?~~B: No, not a sausage. ~~~~A: Did the boss say anything about my project?~~B: No, sorry, not a sausage. ~~~~A: Are there any sandwiches left?~~B: I'm afraid not. Not a sausage.
Wet weekend|A wet weekend means a boring and disappointing time. ~~~~Examples~~That was a wet weekend, my friends were coming to stay but cancelled at the last minute. ~~~~My cousin's a bit of a wet weekend, he's got no personality and nothing to say. ~~~~I had to do my accounts yesterday – it was like a wet weekend in a paint factory!
The heat is on|to be under a lot of pressure.~~~~Examples~~The deadline's tomorrow and we haven't even started! The heat's really on now.~~~~The heat is on for United. If they don't win their last 5 matches they'll lose their place in the Premier League.
Echo chamber|Echo chamber describes a situation where people only hear, see or read opinions they agree with. ~~~~Examples~~Social media's a dangerous echo chamber – you never get a variety of opinion because all your friends think the same way.~~~~A: How on earth did SHE win The Z Factor? Literally no one liked her on my social media feed.~~~~B: Yeah well you should try moving away from your echo chamber and listening to people who don't agree with you!
Left, right, and centre|Left, right, and centre means everywhere or all the time.~~~~Examples~~I'm not surprised the cafe closed. It's been losing customers left and right over the past couple of years.~~~~You can't miss that new film; they've been promoting it left, right, and centre.
Jiggery-pokery|Jiggery-pokery refers to dishonest behaviour that is intended to trick people.~~~~Examples~~The company is being investigated after some shareholders accused it of jiggery-pokery.~~~~I was surprised that the businessman got away with so much jiggery-pokery before he was finally caught and sent to prison.
It beats me|'it beats me' means- I don't know or I don't understand something.~~~~Examples~~It beats me how Stephanie ever got that promotion.~~~~A: Can you believe that Dave and Andrea are still married! He's always bossing her around.~~B: It beats me why she stays with him.~~~~It beats me how Jen can afford a new sports car when she only works part-time.
Pot luck|pot luck describes a situation in which one must take a chance that whatever is available will prove to be good or acceptable.~~~~Examples~~We didn't know which restaurant to eat at, so took pot luck and chose the one recommended in the guide book.~~~~If you can't decide which book to pick, take pot luck, I'm sure they'll all be good to read.~~~~I'm going to take pot luck, and I'm sure the course I choose will be the right one for me.
Wing it|'to wing' something means to improvise.~~~~Examples~~Mary spent all weekend partying instead of studying. When I asked her why she wasn't concerned about the exam, she told me she'd just wing it.~~~~The minister is a great orator. He's never had a speech ready, he just wings it and people love it.
